2025-05-04 18:07:33,077 - flashscore_scraper - INFO - Scraper initialized
2025-05-04 18:07:45,261 - flashscore_scraper - INFO - Found 0 fixtures for league: https://www.flashscore.com/football/england/premier-league/
2025-05-04 18:07:45,276 - flashscore_scraper - ERROR - No data to save to data/leagues//fixtures_20250504_180745.csv
2025-05-04 18:07:45,279 - flashscore_scraper - ERROR - No data to save to data/leagues//match_details_20250504_180745.csv
2025-05-04 18:10:53,113 - flashscore_scraper - INFO - Scraper initialized
2025-05-04 18:11:10,806 - flashscore_scraper - INFO - Found 0 fixtures for league: https://www.flashscore.com/football/brazil/serie-a-betano/
2025-05-04 18:11:10,819 - flashscore_scraper - ERROR - No data to save to data/leagues//fixtures_20250504_181110.csv
2025-05-04 18:11:10,836 - flashscore_scraper - ERROR - No data to save to data/leagues//match_details_20250504_181110.csv
2025-05-09 03:48:14,966 - INFO - Using ChromeDriver from: C:\Users\M2S30\Documents\GitHub\flashscore\drivers\chromedriver.exe
2025-05-09 03:48:23,000 - INFO - Chrome WebDriver initialized successfully
2025-05-09 03:48:23,033 - INFO - Accessing matches for date: 20250509
2025-05-09 03:50:27,220 - ERROR - Error getting match IDs: HTTPConnectionPool(host='localhost', port=52449): Read timed out. (read timeout=120)
2025-05-09 03:50:56,091 - INFO - Using ChromeDriver from: C:\Users\M2S30\Documents\GitHub\flashscore\drivers\chromedriver.exe
2025-05-09 03:51:00,924 - INFO - Chrome WebDriver initialized successfully
2025-05-09 03:51:00,964 - INFO - Accessing matches for date: 20250509
2025-05-09 03:51:38,726 - INFO - Handled GDPR consent
2025-05-09 03:52:12,255 - INFO - Found match: {'id': 'lvIUUU7l', 'teams': [], 'score': '-', 'time': '09:45'}
2025-05-09 03:52:12,452 - INFO - Found match: {'id': 'IcOyOkhK', 'teams': [], 'score': '-', 'time': '12:15'}
2025-05-09 03:52:12,642 - INFO - Found match: {'id': 'jNM3BOLa', 'teams': [], 'score': '-', 'time': '06:00'}
2025-05-09 03:52:12,827 - INFO - Found match: {'id': '2VseIcRF', 'teams': [], 'score': '-', 'time': '14:00'}
2025-05-09 03:52:13,011 - INFO - Found match: {'id': 'hzBdvLY0', 'teams': [], 'score': '-', 'time': '11:30'}
2025-05-09 03:52:13,216 - INFO - Found match: {'id': 'Qm94xa3D', 'teams': [], 'score': '-', 'time': '18:00'}
2025-05-09 03:52:13,395 - INFO - Found match: {'id': 'pAL8qAbm', 'teams': [], 'score': '-', 'time': '06:35'}
2025-05-09 03:52:13,598 - INFO - Found match: {'id': 'MZbR9nAE', 'teams': [], 'score': '-', 'time': '18:20'}
2025-05-09 03:52:13,791 - INFO - Found match: {'id': 'EcNdyS3k', 'teams': [], 'score': '-', 'time': '20:30'}
2025-05-09 03:52:14,001 - INFO - Found match: {'id': 'nojM8jVb', 'teams': [], 'score': '-', 'time': '11:00'}
2025-05-09 03:52:14,235 - INFO - Found match: {'id': 'vH8BDLsf', 'teams': [], 'score': '-', 'time': '15:00\nFRO'}
2025-05-09 03:52:14,465 - INFO - Found match: {'id': 'Wv5fLBdC', 'teams': [], 'score': '-', 'time': '11:00'}
2025-05-09 03:52:14,657 - INFO - Found match: {'id': 'by2wHRGc', 'teams': [], 'score': '-', 'time': '11:30'}
2025-05-09 03:52:14,878 - INFO - Found match: {'id': 'f3enF5oA', 'teams': [], 'score': '-', 'time': '11:30'}
2025-05-09 03:52:15,078 - INFO - Found match: {'id': 'vB9OhXjT', 'teams': [], 'score': '-', 'time': '12:00'}
2025-05-09 03:52:15,307 - INFO - Found match: {'id': '8Oxfq98L', 'teams': [], 'score': '-', 'time': '12:00'}
2025-05-09 03:52:15,495 - INFO - Found match: {'id': 'v7TPwmWr', 'teams': [], 'score': '-', 'time': '12:00'}
2025-05-09 03:52:15,683 - INFO - Found match: {'id': 'K8RUbf7F', 'teams': [], 'score': '-', 'time': '11:00'}
2025-05-09 03:52:15,904 - INFO - Found match: {'id': 'ShkKUlZg', 'teams': [], 'score': '-', 'time': '09:00\nFRO'}
2025-05-09 03:52:16,095 - INFO - Found match: {'id': 'AwtXnyGF', 'teams': [], 'score': '-', 'time': '19:00'}
2025-05-09 03:52:16,288 - INFO - Found match: {'id': 'd8L8UOSs', 'teams': [], 'score': '-', 'time': '15:30'}
2025-05-09 03:52:16,464 - INFO - Found match: {'id': 't8aUcIrK', 'teams': [], 'score': '-', 'time': '09:00'}
2025-05-09 03:52:16,682 - INFO - Found match: {'id': 'Y5v9jzyf', 'teams': [], 'score': '-', 'time': '12:00'}
2025-05-09 03:52:16,897 - INFO - Found match: {'id': 'Cjj0hd6s', 'teams': [], 'score': '-', 'time': '12:00'}
2025-05-09 03:52:17,088 - INFO - Found match: {'id': 'fR9S1iQQ', 'teams': [], 'score': '-', 'time': '14:00'}
2025-05-09 03:52:17,294 - INFO - Found match: {'id': 'CIWV7d55', 'teams': [], 'score': '-', 'time': '11:00'}
2025-05-09 03:52:17,489 - INFO - Found match: {'id': 'U1yset0s', 'teams': [], 'score': '-', 'time': '08:00'}
2025-05-09 03:52:17,672 - INFO - Found match: {'id': 'Kb6IhmFd', 'teams': [], 'score': '-', 'time': '12:00'}
2025-05-09 03:52:17,909 - INFO - Found match: {'id': 'xzy30aY2', 'teams': [], 'score': '-', 'time': '12:30'}
2025-05-09 03:52:18,144 - INFO - Found match: {'id': 'no8Af9pp', 'teams': [], 'score': '-', 'time': '13:30'}
2025-05-09 03:52:18,373 - INFO - Found match: {'id': 'S0Rw0VMM', 'teams': [], 'score': '-', 'time': '14:00'}
2025-05-09 03:52:18,588 - INFO - Found match: {'id': 'KhJUUtYa', 'teams': [], 'score': '-', 'time': '11:31'}
2025-05-09 03:52:18,869 - INFO - Found match: {'id': 'S6Wlwp2B', 'teams': [], 'score': '-', 'time': '11:30'}
2025-05-09 03:52:19,143 - INFO - Found match: {'id': 'QorIAocf', 'teams': [], 'score': '-', 'time': '11:00'}
2025-05-09 03:52:19,424 - INFO - Found match: {'id': 'MqQbkk2k', 'teams': [], 'score': '-', 'time': '12:30'}
2025-05-09 03:52:19,634 - INFO - Found match: {'id': 'M3dBBuJi', 'teams': [], 'score': '-', 'time': '12:30'}
2025-05-09 03:52:19,829 - INFO - Found match: {'id': 'fV9I9Jm4', 'teams': [], 'score': '-', 'time': '12:30'}
2025-05-09 03:52:20,018 - INFO - Found match: {'id': 'IBJ7mTW1', 'teams': [], 'score': '-', 'time': '12:30'}
2025-05-09 03:52:20,207 - INFO - Found match: {'id': 'rkBgBWO8', 'teams': [], 'score': '-', 'time': '12:30'}
